station_complex_id,station_name,stop_lon,stop_lat,tract_geoid,median_household_income,total_population,non_white_population,non_white_share,minority_majority,income_quartile,peak_service_trips,routes_served,year,weekday,weekend,ridership_ratio,avg_daily_ridership
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2023.0,2820.3384615384616,1493.7904761904765,1.2524278545875265,2157.064468864469
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2023.0,2820.3384615384616,1493.7904761904765,0.663347618313152,2157.064468864469
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2024.0,3048.7480916030536,1741.2211538461538,1.3538577314799904,2394.9846227246035
257,New Lots Av,-73.884079,40.666235,36047112400,44375.0,3410.0,3283.0,0.9627565982404692,True,Q1,70,"2,3,4,5",2024.0,3048.7480916030536,1741.2211538461538,0.773224172847815,2394.9846227246035
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2020.0,5756.9098360655735,2763.505154639175,1.0,4260.207495352374
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2020.0,5756.9098360655735,2763.505154639175,0.4800327316795061,4260.207495352374
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2021.0,1410.1044776119404,937.0,0.2449412128670133,1173.5522388059703
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2021.0,1410.1044776119404,937.0,0.1627609302007708,1173.5522388059703
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2022.0,6009.026923076923,3736.057142857143,1.043793822413528,4872.542032967032
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2022.0,6009.026923076923,3736.057142857143,0.6489691951490532,4872.542032967032
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2023.0,7492.284615384616,4431.571428571428,1.301442063317956,5961.928021978022
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2023.0,7492.284615384616,4431.571428571428,0.7697830181061309,5961.928021978022
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2024.0,7010.114503816794,4011.846153846154,1.2176870410407008,5510.980328831474
301,Harlem-148 St,-73.93647,40.82388,36061023600,41941.0,9640.0,9108.0,0.9448132780082988,True,Q1,66,3,2024.0,7010.114503816794,4011.846153846154,0.6968749325745837,5510.980328831474
302,145 St,-73.936245,40.820421,36061023200,35438.0,9581.0,8269.0,0.8630623108235048,True,Q1,68,3,,,,,
401,Woodlawn,-73.878751,40.886037,36005043101,39792.0,5578.0,4522.0,0.8106848332735748,True,Q1,76,4,,,,,
402,Mosholu Pkwy,-73.884655,40.87975,36005041900,49667.0,6320.0,5366.0,0.8490506329113924,True,Q1,77,4,,,,,
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2020.0,8945.221374045801,3161.8076923076924,1.0,6053.514533176747
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2020.0,8945.221374045801,3161.8076923076924,0.3534633252880191,6053.514533176747
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2021.0,9703.306513409962,4270.4807692307695,1.084747498990211,6986.8936413203655
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2021.0,9703.306513409962,4270.4807692307695,0.4774035868605105,6986.8936413203655
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2022.0,15789.784615384617,6518.152380952381,1.7651642094848583,11153.968498168499
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2022.0,15789.784615384617,6518.152380952381,0.728674239394962,11153.968498168499
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2023.0,17674.007692307692,7779.152380952381,1.975804393571311,12726.580036630035
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2023.0,17674.007692307692,7779.152380952381,0.8696433610378025,12726.580036630035
405,Bedford Park Blvd-Lehman College,-73.890064,40.873412,36005040900,58466.0,3460.0,2894.0,0.8364161849710983,True,Q2,84,4,2024.0,18284.751908396946,7883.576923076923,2.044080425046765,13084.164415736934
