station_complex_id,year,day_type,avg_daily_ridership,ridership_ratio
14,2020,weekend,3071.7596153846152,0.47520781117762534
14,2021,weekday,7129.639846743295,1.1029706000062254
14,2021,weekend,5739.259615384615,0.887875791434797
14,2022,weekday,10816.16923076923,1.6732846150257934
14,2022,weekend,7742.733333333334,1.1978174794138876
14,2023,weekday,12766.780769230769,1.9750484102809978
14,2023,weekend,8873.838095238096,1.3728018158916784
14,2024,weekday,13567.045801526718,2.0988511298866244
14,2024,weekend,9267.682692307691,1.4337304211055153
141,2020,weekday,674.1183206106871,1.0
141,2020,weekend,363.5576923076923,0.539308428790874
141,2021,weekday,794.2183908045977,1.1781587393814061
141,2021,weekend,501.8269230769231,0.7444196482040655
141,2022,weekday,1017.2692307692307,1.5090366181528512
141,2022,weekend,607.0095238095238,0.9004495282959094
141,2023,weekday,1081.1,1.6037244011119978
141,2023,weekend,649.4190476190477,0.9633606264116005
141,2024,weekday,1144.4656488549617,1.697722215616666
141,2024,weekend,655.5784313725491,0.9724975739847233
143,2020,weekday,4026.9503816793895,1.0
143,2020,weekend,2705.3173076923076,0.6718029901734446
143,2021,weekday,4415.406130268199,1.09646400173096
143,2021,weekend,3115.9134615384614,0.7737650495308582
143,2022,weekday,4979.592307692307,1.2365665915197173
143,2022,weekend,2613.3333333333335,0.6489608973635964
143,2023,weekday,5405.819230769231,1.3424101909382855
143,2023,weekend,3088.657142857143,0.7669965731162193
143,2024,weekday,5920.801526717557,1.47029413465193
143,2024,weekend,3696.3076923076924,0.9178925345402923
144,2020,weekday,2825.9045801526718,1.0
144,2020,weekend,2043.1683168316831,0.723013908955588
144,2021,weekday,3256.352490421456,1.1523221673130692
144,2021,weekend,2320.970873786408,0.8213196192424217
144,2022,weekday,3829.9884615384617,1.3553141491180651
144,2022,weekend,2060.971153846154,0.7293137809114588
144,2023,weekday,4072.1961538461537,1.4410239405982173
144,2023,weekend,2421.831683168317,0.8570111320027216
144,2024,weekday,4314.603053435115,1.5268042253578198
144,2024,weekend,2864.8252427184466,1.013772815557584
145,2020,weekday,1737.1106870229007,1.0
145,2020,weekend,1087.1122448979593,0.6258163357230141
145,2021,weekday,1449.6015325670498,0.8344900203517885
145,2021,weekend,961.1274509803922,0.5532908513893228
145,2022,weekday,2479.4423076923076,1.4273369717974802
145,2022,weekend,1275.0288461538462,0.733994014128725
145,2023,weekday,3034.2384615384617,1.746715672297548
145,2023,weekend,1590.6407766990292,0.9156818782947591
145,2024,weekday,3052.6068702290077,1.7572897875958808
